Column1,Column2
637,907
438,1099
433,1093
438,1099
1580,841
1580,841
1609,831
1609,831
1596,828
1575,846
1572,853
1357,774
441,1099
443,1110
426,1086
657,972
657,972
433,1094
433,1093
438,1100
443,1110
521,1019
521,1019
432,1093
432,1093
438,1100
441,1099
435,1101
440,1102
657,972
657,972
657,972
439,1101
365,1200
372,1194
347,1190
443,1110
433,1094
429,1090
435,1101
443,1110
657,972
657,972
500,1039
500,1039
426,1086
439,1101
365,1198
365,1198
372,1194
372,1194
372,1194
372,1194
372,1194
372,1194
372,1194
438,1100
433,1093
443,1110
440,1102
435,1101
419,1094
443,1110
429,1091
657,972
657,972
433,1093
438,1100
443,1110
434,1103
428,1098
428,1098
428,1098
440,1102
443,1110
438,1100
346,1404
356,1207
441,1099
441,1099
441,1099
432,1093
433,1094
443,1110
657,972
657,972
657,972
657,972
657,972
657,972
438,1100
438,1100
443,1110
506,1039
506,1039
432,1094
432,1094
443,1110
506,1039
521,1019
521,1019
521,1019
521,1019
521,1019
443,1110
428,1090
438,1100
443,1110
657,972
657,972
657,972
657,972
437,1098
440,1102
432,1093
443,1110
657,972
443,1110
443,1110
443,1110
443,1110
443,1110
432,1094
432,1094
443,1110
443,1110
557,940
433,1093
443,1110
436,1097
343,1403
248,1281
435,1103
443,1110
443,1110
432,1094
433,1093
433,1093
443,1110
438,1099
343,1403
434,1098
434,1098
443,1110
438,1099
442,1099
443,1110
637,907
637,907
443,1110
637,907
557,940
557,940
557,940
1523,777
441,1109
443,1110
441,1109
441,1109
441,1109
441,1109
443,1110
441,1109
441,1109
441,1109
441,1109
441,1109
441,1109
441,1109
441,1109
441,1109
441,1109
441,1109
441,1109
441,1109
441,1109
441,1109
441,1109
441,1109
441,1109
441,1109
443,1110
441,1109
443,1110
441,1109
441,1109
441,1109
443,1110
443,1110
443,1110
443,1110
441,1099
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
1650,729
1650,729
1650,729
1650,729
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
1563,913
1563,913
443,1110
259,1400
443,1110
953,555
443,1110
443,1110
436,1098
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
781,748
443,1110
443,1110
629,844
443,1110
273,1359
754,785
443,1110
443,1110
371,1194
443,1110
443,1110
752,570
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
323,1429
443,1110
443,1110
443,1110
436,1097
440,1102
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
781,748
443,1110
443,1110
807,804
443,1110
443,1110
443,1110
443,1110
756,789
443,1110
542,936
443,1110
750,773
443,1110
443,1110
443,1110
443,1110
426,1086
443,1110
484,1027
443,1110
443,1110
443,1110
443,1110
812,738
889,526
443,1110
434,1107
443,1110
443,1110
443,1110
438,1099
443,1110
443,1110
443,1110
566,889
443,1110
443,1110
438,1106
443,1110
443,1110
443,1110
756,789
911,647
443,1110
497,1017
443,1110
443,1110
443,1110
498,1016
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
1387,1721
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
722,814
443,1110
443,1110
440,1102
443,1110
443,1110
443,1110
542,936
443,1110
443,1110
443,1110
781,748
443,1110
517,941
443,1110
542,936
443,1110
443,1110
517,941
443,1110
443,1110
443,1110
781,748
443,1110
443,1110
443,1110
443,1110
517,941
443,1110
443,1110
443,1110
441,1099
443,1110
443,1110
443,1110
1001,863
798,628
889,526
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
517,941
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
577,886
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
923,637
443,1110
436,1105
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
861,708
657,972
889,526
889,526
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
752,570
443,1110
443,1110
428,1098
428,1098
443,1110
441,1099
443,1110
443,1110
443,1110
443,1110
909,650
443,1110
443,1110
443,1110
752,570
862,806
443,1110
443,1110
443,1110
443,1110
517,941
443,1110
443,1110
443,1110
443,1110
443,1110
464,1012
443,1110
443,1110
443,1110
443,1110
752,570
916,650
766,766
443,1110
443,1110
441,1099
435,1101
443,1110
443,1110
443,1110
443,1110
443,1110
545,919
752,570
443,1110
443,1110
443,1110
443,1110
856,829
443,1110
443,1110
910,670
443,1110
545,919
443,1110
443,1110
856,829
720,784
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
443,1110
440,1102
464,1012
443,1110
963,552
682,815
443,1110
443,1110
443,1110
722,814
722,814
722,814
722,814
464,1012
722,814
464,1012
464,1012
464,1012
722,814
722,814
722,814
