Column1,Column2
1173,578
3526,1928
2220,1933
2281,311
2003,443
1405,1052
2526,2062
2725,1695
2249,1689
2443,1680
4314,896
1666,562
3558,2304
1863,1708
1189,410
3288,531
1218,1032
2239,1560
3557,1894
2112,1835
1200,942
1881,348
1876,800
2723,1646
2053,269
1721,2571
1343,573
2773,2211
1350,256
3535,2227
2278,255
2461,1316
3857,826
2981,1716
2043,2195
2906,1688
2857,2117
2120,2846
2360,1534
2340,1536
2481,1257
161,1161
2775,2212
2531,1174
2726,2244
2147,1693
2463,1957
1395,499
1379,234
1801,1750
2121,2661
1501,767
1880,2727
2980,1334
1195,2354
2105,2759
3785,896
973,518
5210,984
1874,325
1867,2834
3458,532
2137,1803
3513,2468
2702,864
2172,2427
1705,1729
2766,1947
1608,286
1014,700
3787,2468
1230,1028
2138,2593
2272,1618
2766,2188
1261,339
2160,1926
5207,1489
2868,1666
3547,1726
2060,2768
2882,1916
2876,1916
1723,642
2351,113
2030,2566
2836,1056
1874,517
2263,359
1201,859
2247,1992
2532,1313
1757,493
1202,1042
2273,1622
2069,1825
2448,1323
3859,2338
5231,984
2850,1351
2240,2802
2105,2761
2309,701
2159,1914
3496,2179
3550,2434
2551,3565
1730,1009
4884,1391
4882,1510
2783,2038
2164,308
2054,2575
2422,591
1342,1042
2293,435
878,2237
2253,625
2704,1658
2719,831
2041,1754
2370,711
5199,1500
2419,3571
1273,1042
3933,1755
1959,2744
3512,2454
1881,2836
2712,853
1881,2908
1976,2621
1684,2504
1332,593
1752,526
2025,1725
4079,1893
2932,1341
2444,1658
1278,591
2140,1668
874,1000
1277,337
1281,332
2565,570
3757,589
2445,1365
1646,316
2825,1693
3510,812
2068,268
1199,681
1816,1684
2175,2465
3534,2251
3476,1878
1868,316
3192,2381
2044,185
3234,1902
3897,711
3278,1180
2213,1579
2260,666
1552,2561
1659,997
1846,635
2444,1313
1821,1687
2026,365
2186,1923
2211,1931
2923,1528
2765,1992
2138,2862
3672,759
2944,1324
1842,1750
1303,611
1984,1691
2267,1549
3621,541
3329,445
4060,665
2163,1606
3273,463
4177,721
2652,1811
2401,2224
1205,990
3249,1909
2574,511
2245,1695
2765,2244
2033,2274
1242,349
2579,3316
3126,2299
2371,1404
2746,332
3520,1930
2558,1563
2843,2347
1875,844
2417,781
2484,1920
3275,1740
2526,300
3407,2422
3681,783
2147,2284
2907,1689
2576,376
1568,312
2651,994
1154,571
2539,1692
2585,423
2649,1961
2482,1351
2341,116
1773,2558
2184,1924
2167,1931
922,539
3767,589
1316,871
2420,774
3605,922
1863,2987
2693,1667
2784,1102
1712,595
2076,2204
2202,104
1803,317
1471,958
2788,1317
2078,1690
1073,708
2375,2655
2734,540
2261,1379
1175,1047
2665,937
4062,679
1756,480
3619,3130
2617,1587
2523,1798
2115,2318
2272,1618
2439,1667
1932,604
1987,2462
3674,731
867,2438
2348,1476
2903,413
2652,2171
2197,1914
1928,1692
2799,161
1580,321
2740,2244
2842,1346
2002,244
2120,2673
2417,786
3465,2603
1757,445
1193,1051
2119,2883
2464,2060
4163,734
2979,1334
2747,1702
2786,1113
1050,838
1066,836
2532,686
2775,1689
3268,2435
881,2325
2550,1161
1057,839
1667,310
1822,736
1342,603
985,510
2637,2239
3199,2360
2363,2701
2683,708
2164,1730
1480,115
2198,1703
1321,2526
3302,2435
2154,1689
2186,601
3903,676
2647,2116
1824,592
2594,558
2610,1747
1217,1069
2126,3473
1888,2959
2804,1518
2904,1961
1573,655
2473,2292
1706,1041
2464,1480
1981,1630
2125,2779
3524,1055
2694,870
1317,555
1879,1625
2849,2215
1739,1002
3844,1738
4041,848
2904,1683
2470,1284
3553,1566
1999,533
1957,1960
1371,244
880,2244
1740,1602
3486,547
2176,1922
1300,584
2575,373
2935,1684
2642,1035
1292,478
1174,2232
1020,702
2123,1785
2232,600
2825,1689
5198,1242
2248,2006
3524,2023
2444,1845
3915,1844
1374,598
1990,428
2776,2066
2163,1723
2424,587
2920,2072
1980,1691
1370,239
2016,442
4078,684
1399,589
2543,1681
3489,2450
2707,1264
2667,865
2810,1960
3616,542
3021,771
1797,89
1653,3045
2626,1286
3496,2097
2115,1835
1380,521
2025,2585
1929,604
2970,549
2618,1306
2024,1719
1668,2501
1208,856
2892,1956
2624,2239
1300,2534
1893,1729
1840,760
2367,1785
2964,540
2718,835
3791,879
3276,2778
2156,202
2156,1984
2356,119
2847,1329
2034,1773
3021,2216
1341,1039
2559,565
2252,644
2736,2237
2653,2172
2164,1643
2147,1814
2448,1391
5158,1196
2058,1689
1460,138
1574,459
2877,2105
2125,2738
3438,2433
2781,2075
1264,835
1030,493
1202,1049
1887,683
1219,2163
1557,598
2898,1690
1352,738
2656,1860
1969,1690
1876,1765
3967,1813
2438,1920
3266,411
1199,890
2095,271
1346,1000
2202,104
1264,1040
2253,667
2148,1901
2341,114
2421,770
3800,3261
2827,1691
2991,1697
3461,527
2286,118
2248,634
1937,310
2452,1376
2032,2617
2117,2845
2159,250
2444,2033
2127,2704
2013,2495
2034,2725
2114,1836
2788,1317
2277,269
3497,2150
1725,3170
2753,312
1179,1032
3422,1903
2852,1987
2783,1821
3513,587
5186,1505
2358,2408
2823,1355
3495,1506
1658,2628
2815,1116
3906,802
2370,2339
2467,2253
1276,339
2445,2104
3918,600
2469,2075
2617,1792
2152,2520
2279,251
2412,463
2164,1730
2973,1916
2452,2246
2640,1517
2589,2968
4007,867
973,519
2578,444
2415,1916
1226,1065
4643,897
1094,928
2804,709
1550,603
2301,106
2851,2079
2274,2990
2115,1831
2368,465
3284,536
2458,1477
2986,389
2013,570
2450,2251
2554,1790
2518,2684
2254,1662
3487,2432
2240,1915
2364,2711
1951,775
2124,2792
1768,2566
2579,578
1957,1692
2586,685
2855,2044
2085,2745
2358,113
1034,702
1253,670
5050,1134
3518,2401
2128,1941
1756,444
3045,538
3688,902
1979,1587
2464,1960
1877,836
1209,378
1890,2959
2156,1791
2615,1699
2530,1547
3331,431
1620,598
2163,1814
2470,1284
1367,1044
3228,2774
2444,2030
3504,1999
1578,520
2815,698
2130,1773
3803,2614
2164,1639
2115,1835
2674,949
2272,1618
2695,1590
3532,503
2903,1377
4309,943
2125,2715
2352,3566
2665,1781
2824,1109
3759,1924
2227,1677
2735,1960
3889,662
2586,3068
2112,2696
3261,2567
2178,1939
2740,2244
1778,464
1594,597
2831,1424
2552,1545
2160,1662
2639,2212
1733,1120
2367,2698
2121,1813
1070,682
3188,1703
4078,852
3170,1715
1286,1042
2401,1793
1788,967
2361,1910
1595,737
2915,1341
2936,1716
2511,1955
1308,857
2198,1983
1239,1085
2356,119
2119,2980
4597,1467
2758,1317
3330,427
1590,275
3749,3194
2125,1789
2774,2072
1440,383
3275,349
3274,2415
3494,1886
3447,1681
2600,1315
1574,554
2338,2554
3177,1518
3462,528
2736,1632
2849,545
3720,787
1879,2854
1070,735
2905,1915
2929,1920
2677,691
1231,1074
2283,1716
1051,516
1886,666
1653,2684
3981,2743
1610,795
3528,1924
2612,1636
3178,2361
1646,737
2647,999
3520,1519
2005,215
2096,2619
1363,249
2456,1795
1647,2295
1875,2831
2145,1753
1038,498
2201,1706
2647,2119
1195,622
2126,2712
2124,1794
2211,1913
2659,545
2656,547
2740,348
3748,3127
2921,1919
1773,1033
2225,2012
2646,2050
2364,1547
1199,904
918,546
2622,1429
1845,1751
2034,3596
1764,311
2442,1797
3417,2422
1882,2855
1891,1658
3494,2128
3250,1041
2828,1366
1655,1806
3515,2465
2898,412
2177,1583
2400,1917
1826,310
1817,1684
2712,1244
3856,625
2386,116
2461,1313
3510,2009
2709,1269
1010,502
2249,2003
1129,418
1385,500
2119,1837
3332,432
2755,1924
3775,3274
2257,500
2707,548
2771,2217
1423,477
2126,1713
1841,147
1241,1085
2227,2079
3422,2431
1888,857
2363,1790
1586,280
1490,109
1357,2526
2570,542
1879,1596
1853,1811
4300,965
2278,1618
2250,2006
2259,1694
1670,97
1785,3076
3546,2306
1674,990
1197,727
3332,436
1262,340
3178,1698
2200,1916
827,2001
1268,1042
2164,1635
2611,1916
2611,1766
3532,1165
2115,1803
1194,569
3286,2717
955,529
2823,1337
2743,744
3303,555
2247,2014
1305,2489
1662,2622
1951,777
2150,1954
2046,2585
3547,1316
2093,2568
1346,2533
1213,1119
1670,853
3523,2258
2442,755
1803,215
2573,3582
3409,2429
2451,1682
2962,1921
1453,738
2444,1331
2343,1535
2743,1699
2447,1333
2845,1910
5196,1508
1975,1630
2562,1406
1877,1722
2257,305
2436,3090
2003,385
2182,1925
2213,269
3533,1048
1113,447
2242,2010
2322,699
2164,1794
2851,1995
2941,1712
2607,1849
2160,1729
2574,426
2292,596
1648,2856
4017,700
2840,1707
1658,2834
1819,182
2118,1801
2121,1709
2767,2021
2973,1960
2249,2031
2448,1856
2401,465
2240,598
1085,530
2278,1616
871,2709
3786,893
2420,3582
2655,2228
2004,289
4688,1475
2147,1821
4037,748
2610,1928
2003,243
943,984
1198,2248
2579,390
2682,853
2357,1757
2707,1267
2930,1698
4092,862
1829,1690
2474,2238
4301,892
4491,772
2413,2970
1162,1022
2709,1267
2148,1941
1227,362
1279,342
1475,1039
3747,3063
3676,762
2500,530
1880,2612
2332,113
1184,1054
2189,1907
2448,1306
1471,891
2565,571
2118,2625
3322,1911
2532,2402
2143,279
738,559
1182,1046
1960,1586
2607,1777
1734,2781
2661,989
4491,772
2689,327
3510,2009
1271,999
1725,307
4309,882
2451,370
2132,377
2368,305
913,834
2128,589
2608,1891
4991,1096
3541,2343
2008,343
1305,916
1834,192
1279,1042
1268,1040
1847,1642
3483,1888
2167,1559
1854,643
1189,1055
2448,1830
2490,591
3800,2418
1201,1048
2216,1582
2923,1157
1683,2565
1805,106
923,834
1883,2611
2087,1679
2769,1925
1054,483
2249,2005
3711,637
3502,2369
1709,1041
3706,2299
1682,311
2256,380
2760,1911
2735,2243
1200,1028
3497,2117
1303,578
1643,2856
2552,1789
2028,1749
2342,2000
1892,622
3055,1566
1134,2212
2133,1764
5042,1520
2242,1608
2826,1109
199,1491
1574,815
3509,1931
2752,551
2146,2515
1363,248
2917,1337
2753,562
2860,2063
2141,1689
2122,1839
2398,466
2820,1472
1350,834
2441,2052
3687,646
2992,1699
1501,1038
2157,517
2571,1959
1882,1599
3630,905
1200,718
1572,825
1305,2490
2902,1689
2025,1722
2810,705
5221,1249
3541,1043
2312,2139
2611,2972
2470,1284
2444,1818
2751,554
1485,315
3524,1100
1867,639
1196,1062
2690,1547
1452,1038
2161,1814
2049,1688
2574,493
2275,1474
1436,355
1583,742
3558,2238
3626,1640
2878,1980
2908,1748
2119,2789
2145,1944
2136,1963
2405,3574
1641,1016
1632,311
3870,1879
2244,309
2912,1683
1595,591
3540,1043
3512,1943
1328,1039
1176,1041
2544,322
1015,700
2161,1589
2198,370
2718,1316
2150,2590
3685,781
987,842
2183,1935
2662,952
1195,999
2960,1695
2286,584
2247,2016
2852,367
2714,1692
1498,343
2002,489
2146,1694
2614,1677
2724,834
2141,1761
2038,2478
2848,1443
2639,1520
2117,1837
3756,3285
1868,2982
2129,261
2782,2078
2739,2245
1955,1706
2627,548
2539,293
3685,781
2366,119
2616,1707
1202,1065
3681,878
2249,443
1674,1041
2888,555
2411,1691
3024,783
1880,1708
2367,116
882,2253
1309,1042
2105,2536
2362,2292
3482,2209
2185,1930
1202,1049
1884,2960
1192,1036
2269,1698
1199,798
2773,2255
2002,487
1151,825
2127,1717
1195,962
1172,1085
2248,632
1178,1051
2289,454
2535,1914
2119,2900
2127,2609
982,512
1195,551
2638,649
2679,996
2735,2237
2560,1960
2037,2559
2207,233
2639,2212
2261,1895
2902,412
3119,2335
2366,118
1492,315
3545,2434
3771,909
1614,737
2069,595
1214,1054
1816,16
3151,1899
2253,2001
2703,850
2173,1915
2898,1689
2206,2540
4006,646
2865,2078
1951,776
2561,3565
2292,480
3973,1822
2274,1623
1859,1750
3675,867
1756,1039
2152,1977
4170,728
2659,2242
1045,491
2170,1699
3814,2000
1956,1698
5191,1509
2008,519
1945,1749
5030,1519
2118,2845
2830,704
1883,1631
1599,602
3556,1270
3735,587
1314,1042
1875,591
2081,306
4116,1748
3519,1185
3496,2450
4090,685
1866,2978
4273,746
1156,923
736,555
1957,1629
2265,1917
2207,2199
2275,1625
1664,2560
3513,1879
1874,324
1172,908
1884,544
1875,511
2533,301
1508,1787
2271,1615
1388,745
3331,439
2417,793
3526,1059
1476,2440
1312,909
2366,123
2500,1505
1724,1589
2115,306
3177,1557
2256,270
2758,2524
2403,581
2539,584
4143,721
4055,953
2700,1664
1578,691
2180,1980
1884,2610
2565,574
2261,1957
1396,514
1752,1592
2582,564
2272,1618
2278,1615
2147,1872
1769,1004
2184,2471
1492,1040
2066,1658
2851,1998
2234,1996
1848,2264
2784,1317
758,645
1831,850
2625,1422
1066,877
1831,1789
1327,843
2040,1752
1662,2621
2847,1974
2036,2720
1672,2551
1543,838
2619,1580
3186,448
2368,1983
2253,2029
1575,725
3154,1899
2125,2841
1314,2557
2815,710
2446,1676
2363,1768
3613,2065
1424,1042
2083,2577
2990,390
2428,1637
3279,479
2139,1940
1655,3165
2164,1615
2368,305
2411,359
1532,736
1284,838
3768,1924
2009,641
2355,1792
2111,2731
1887,321
3181,1693
2250,1985
2624,1082
3013,546
2107,1695
3126,2299
3999,647
2248,2027
2436,1687
4311,1025
1727,1022
2838,639
3497,2829
2247,2014
1200,1050
3150,1708
2003,614
1358,1002
2006,1688
2450,1600
2081,2578
781,1947
1438,347
1320,572
3454,544
1719,3094
3023,1711
1158,2227
1724,1016
1875,2731
3380,2092
2779,1978
2293,494
2195,1915
2140,1750
1806,2552
3670,838
1583,429
3179,1696
2253,1895
2123,1885
3770,3275
5064,1666
2160,1873
2339,1534
2102,1806
3331,436
2634,1588
1007,491
2161,1824
2271,2205
1803,1750
2252,704
1514,782
3502,2353
4914,2133
1199,1020
1114,981
3524,1922
3280,2432
2287,1875
2006,694
1197,1020
2082,2811
2919,2782
2851,1995
2388,1669
2589,690
2961,539
2743,760
2138,1867
941,539
3270,531
5216,1235
2157,252
1588,279
2134,2767
1012,2062
2269,1623
2095,1688
2560,340
2537,435
2438,1332
2013,166
1142,922
2160,1866
2787,1317
1802,82
2757,1696
903,877
2637,1916
2604,3448
2100,2744
2269,1698
2639,2212
1602,1019
2915,550
1196,1065
1307,2525
1462,136
1234,875
2577,376
1878,330
2323,122
1587,743
2416,1773
2289,1792
1943,454
4477,689
2845,1687
2445,1332
1933,516
2459,1407
3028,1936
1460,699
2247,370
2259,1376
2164,1777
3270,2430
2180,2434
1206,1031
2117,1837
2277,247
2917,2053
1239,681
5021,1517
1820,83
1906,913
1197,928
1231,1073
1879,2849
3523,1521
2142,1746
2218,2535
2851,1685
1597,270
2094,2438
1355,257
2264,1803
2064,2624
