car_id,Column1,Column2
0,645,924
1,1451,750
2,1440,744
3,1586,817
4,1568,830
5,205,1180
6,645,924
7,1571,846
8,1589,848
9,1551,872
10,1567,863
11,1585,867
12,1599,858
13,1450,758
14,1568,830
15,1567,863
16,1583,846
17,1571,846
18,1571,846
19,1562,841
20,1571,846
21,1568,830
22,645,924
23,1638,891
24,1508,846
25,1526,872
26,1172,1687
27,1167,1682
28,1168,1689
29,1167,1688
30,1167,1688
31,1167,1688
32,1167,1688
33,1167,1688
34,1167,1688
35,1167,1688
36,1175,1690
37,1175,1690
38,1175,1690
39,1177,1688
40,1176,1691
41,1206,1710
42,1188,1694
43,1394,1737
44,1388,1729
45,1493,1672
46,1802,1242
47,1719,1084
48,1659,912
49,1683,860
50,1801,793
51,1810,772
52,1812,773
53,1810,769
54,1813,768
55,1810,767
56,1819,754
57,1810,766
58,1820,756
59,1820,757
60,1810,765
61,1812,765
62,1812,759
63,1806,767
64,1814,757
65,1812,771
66,1814,769
67,1814,766
68,1815,765
69,1818,762
70,1815,760
71,1814,768
72,1813,761
73,1814,759
74,1812,763
75,1683,860
76,1681,859
77,1672,861
78,1669,862
79,1669,861
80,1669,869
81,1671,868
82,1666,877
83,1664,872
84,1658,874
85,1660,875
86,1643,876
87,1640,880
88,1626,880
89,1626,879
90,1640,887
91,1640,887
92,1640,887
93,1660,875
94,1640,887
95,1640,886
96,1640,891
97,1640,889
98,1641,891
99,1640,890
100,1641,891
101,1641,889
102,1642,888
103,1641,889
104,1641,889
105,1641,890
106,1642,890
107,1608,874
108,1614,865
109,1638,891
110,1619,895
111,1635,867
112,1630,893
113,1613,885
114,1625,859
115,1606,874
116,1632,857
117,1641,851
118,1632,867
119,1632,867
120,1633,863
121,1636,859
122,1635,863
123,1653,843
124,1654,843
125,1654,845
126,1632,867
127,1640,865
128,1651,860
129,1652,860
130,1639,880
131,1642,880
132,1640,880
133,1640,877
134,1641,886
135,1643,882
136,1641,891
137,1640,891
138,1641,891
139,1639,894
140,1639,894
141,1643,891
142,1641,886
143,1642,893
144,1642,893
145,1638,894
146,1637,893
147,1638,892
148,1633,881
149,1679,853
150,1597,830
151,1651,834
152,1638,849
153,1638,891
154,1612,839
155,1593,873
156,1586,835
157,1571,847
158,1585,859
159,1569,860
160,1553,850
161,1545,854
162,1551,858
163,1556,862
164,1677,980
165,1779,1150
166,1781,1163
167,1784,1220
168,1786,1220
169,1802,1242
170,1802,1242
171,1771,1332
172,1719,1283
173,1702,1296
174,1665,1357
175,1682,1364
176,1668,1402
177,1628,1447
178,1555,1524
179,1516,1584
180,1469,1633
181,1394,1737
182,1388,1729
183,1257,1718
184,1177,1688
185,1175,1690
186,1175,1690
187,1172,1687
188,1172,1686
189,1167,1689
190,1167,1688
191,1167,1688
192,1167,1688
193,1167,1688
194,1167,1688
195,1167,1688
196,1167,1688
197,1167,1689
198,1176,1691
199,1167,1682
200,1178,1680
201,1178,1679
202,1172,1686
203,1172,1686
204,1188,1694
205,1168,1689
206,1168,1687
