car_id,Column1,Column2
0,1141,202
1,281,1708
2,995,489
3,1379,1011
4,839,646
5,301,1847
6,1039,375
7,1615,532
8,787,1163
9,1643,89
10,305,476
11,1587,1790
12,1034,1372
13,1231,1243
14,1440,1253
15,953,831
16,716,1040
17,1451,1279
18,153,24
19,1629,1289
20,1205,684
21,1290,1526
22,1660,2107
23,1294,799
24,487,1737
25,1619,404
26,408,1012
27,270,182
28,1232,1379
29,1040,332
30,592,1351
31,815,24
32,121,127
33,4,1360
34,1250,738
35,1498,1888
36,236,1986
37,946,1843
38,949,1264
39,1615,262
40,1625,664
41,1104,916
42,1762,494
43,1610,1734
44,101,476
45,1356,1658
46,579,944
47,1646,1766
48,1258,1911
49,1457,1700
50,1089,13
51,1087,1989
52,614,1528
53,1248,1788
54,295,907
55,424,1809
56,315,282
57,470,1892
58,106,1655
59,127,452
60,720,1098
61,423,1637
62,866,2104
63,833,938
64,1674,1693
65,561,1734
66,1349,1766
67,10,1585
68,514,1257
69,1477,989
70,833,1405
71,75,1763
72,432,1116
73,1555,1581
74,590,272
75,1237,309
76,1663,1007
77,780,1411
78,672,1350
79,1688,122
80,261,510
81,132,1725
82,1718,976
83,513,185
84,804,894
85,199,492
86,1011,63
87,1435,559
88,102,2134
89,1124,1957
90,1441,2034
91,544,835
92,1332,2065
93,509,48
94,1026,520
95,938,406
96,1552,1546
97,1080,177
98,1235,1014
99,1372,524
100,130,571
101,1369,1862
102,634,979
103,621,170
104,394,1270
105,960,1752
106,1224,1051
107,603,811
108,353,490
109,742,1730
110,866,1267
111,1553,1753
112,55,137
113,1523,59
114,1636,179
115,590,1837
116,848,1922
117,1259,2142
118,492,236
119,1141,1646
120,700,778
121,501,1511
122,97,1024
123,767,461
124,1646,402
125,1272,289
126,1006,1877
127,918,461
128,1465,1569
129,868,1392
130,860,1493
131,59,1007
132,1563,1287
133,395,1909
134,1020,1413
135,573,2218
136,650,1914
137,345,632
138,102,926
139,1029,2096
140,1667,929
141,1325,364
142,730,1703
143,1344,530
144,624,1632
145,805,641
146,1361,620
147,1715,521
148,1352,1529
149,701,354
150,1755,508
151,268,357
152,886,1716
153,696,1557
154,1585,268
155,720,226
156,1586,1014
157,1202,49
158,341,685
159,1157,1028
160,883,1234
161,672,2099
162,1437,1385
163,1011,309
164,1091,895
165,1345,1944
166,159,440
167,1085,1028
168,1521,2185
169,1243,1099
170,1712,561
171,1168,2186
172,1173,2158
173,1336,1827
174,687,2165
175,612,1595
176,484,1603
177,1204,980
178,1631,227
179,1509,1183
180,838,617
181,918,329
182,1468,230
183,307,54
184,791,1281
185,594,518
186,1057,1340
187,273,1935
188,1485,443
189,1617,1613
190,1632,1265
191,1532,2192
192,701,825
193,1701,1942
194,823,1668
195,52,819
196,1714,1692
197,841,420
198,332,545
199,604,1804
200,557,1479
201,410,1962
202,456,812
203,495,1102
204,868,841
205,1154,255
206,102,944
207,950,537
208,1688,1867
209,1378,2192
210,539,1784
211,1169,2100
212,607,154
213,1207,686
214,686,599
215,1175,372
216,1079,2186
217,459,1578
218,1106,1196
219,1562,57
220,1734,1169
221,719,508
222,935,1067
223,975,797
224,1629,230
225,37,1038
226,860,1495
227,352,356
228,1389,1596
229,13,1521
230,324,846
231,926,1645
232,1499,1646
233,603,1649
234,1378,603
235,1324,1155
236,891,373
237,397,362
238,119,1987
239,872,256
240,916,1394
241,1610,1855
242,1682,1873
243,14,605
244,845,1341
245,1607,1110
246,445,1837
247,289,936
248,1153,768
249,1159,893
250,1428,999
251,809,359
252,1078,1351
253,1466,1429
254,1466,1487
255,836,1494
256,574,739
257,215,1073
258,1440,2167
259,63,1996
260,1230,2058
261,722,1510
262,389,500
263,1333,782
264,1310,1619
265,902,144
266,305,1437
267,334,1037
268,432,443
269,785,2170
270,894,1174
271,1641,1075
272,1147,605
273,242,672
274,682,346
275,1236,2097
276,1282,456
277,1092,288
278,1005,1972
279,1458,1511
280,866,1456
281,886,2124
282,1573,924
283,1147,413
284,1312,104
285,775,1564
286,152,1001
287,912,388
288,1678,1171
289,954,796
290,1385,2192
291,1459,1063
292,213,1891
293,434,1884
294,1495,1679
295,337,730
296,453,1954
297,76,687
298,1084,2028
299,531,1693
300,394,557
301,909,2212
302,1238,2085
303,1397,2075
304,486,1117
305,1236,861
306,497,1203
307,1194,2077
308,824,819
309,1157,435
310,1466,140
311,1145,1730
312,818,1174
313,730,179
314,103,1193
315,311,592
316,1665,1507
317,91,492
318,323,1063
319,194,2015
320,5,1933
321,598,1161
322,1313,921
323,1255,2148
324,1488,83
325,868,1279
326,388,840
327,1063,147
328,769,1794
329,340,1301
330,995,1056
331,1231,1256
332,438,1923
333,1433,1833
334,255,1660
335,520,1101
336,1603,1862
337,974,345
338,491,490
339,1215,1852
340,1099,488
341,1347,551
342,1420,633
343,88,753
344,1074,792
345,494,2212
346,441,1112
347,33,482
348,1451,2028
349,1274,140
350,11,1610
351,1487,1173
352,235,2002
353,1287,1724
354,778,572
355,85,221
356,687,786
357,1232,2084
358,1749,234
359,892,1882
360,832,349
361,1137,207
362,1460,2068
363,427,755
364,1186,1584
365,699,1982
366,1256,305
367,1096,696
368,1409,1982
369,898,434
370,799,863
371,313,195
372,841,49
373,40,1809
374,296,708
375,438,97
376,385,557
377,1271,332
378,433,2097
379,1393,190
380,1517,799
381,1599,1647
382,1071,431
383,579,401
384,527,1914
385,1062,426
386,582,1769
387,1007,2152
388,119,370
389,982,1178
390,73,1171
391,1527,1566
392,1760,719
393,1420,934
394,748,265
395,276,2127
396,1054,1003
397,371,1206
398,1471,1370
399,765,805
400,1593,1499
401,278,2050
402,522,1926
403,477,84
404,274,1717
405,348,1598
406,1715,410
407,804,923
408,142,468
409,1595,98
410,149,1096
411,674,1149
412,1675,539
413,1571,1142
414,575,1201
415,82,1546
416,1291,323
417,1692,1326
418,363,1657
419,864,2218
420,515,1597
421,178,1401
422,217,1907
423,15,872
424,235,1121
425,1615,1821
426,407,557
427,986,1486
428,432,1366
429,1751,1989
430,601,2074
431,268,2017
432,163,2210
433,1722,906
434,29,1429
435,1254,1568
436,415,1966
437,7,1139
438,591,2097
439,1168,1866
440,461,2105
441,1507,920
442,456,568
443,1619,863
444,1493,713
445,1474,499
446,1017,394
447,1372,222
448,242,531
449,14,1734
450,1377,128
451,768,1855
452,261,1049
453,1135,372
454,1028,71
455,1494,1776
456,1364,1235
457,1288,2041
458,13,341
459,182,978
460,1046,1212
461,101,2166
462,316,213
463,218,1483
464,949,1328
465,882,1683
466,695,176
467,1360,1293
468,1272,661
469,903,663
470,1588,1446
471,1560,1434
472,1626,716
473,1044,844
474,872,447
475,786,2141
476,235,359
477,537,1016
478,838,2037
479,343,2032
480,873,1300
481,440,955
482,1711,221
483,1728,1975
484,438,1790
485,374,440
486,89,173
487,363,1111
488,1170,1635
489,526,159
490,1119,460
491,1079,826
492,171,1241
493,1717,702
494,1611,1802
495,497,1579
496,424,342
497,897,1579
498,1747,799
499,1487,594
500,1515,109
501,1648,1488
502,833,1886
503,39,1213
504,835,674
505,1119,101
506,904,1575
507,1583,772
508,910,1927
509,311,1283
510,54,1189
511,1608,1687
512,468,1094
513,313,474
514,738,777
515,615,1925
516,1140,2107
517,904,264
518,1091,1428
519,186,827
520,661,712
521,435,2123
522,1197,256
523,1218,1858
524,124,1329
525,1758,1750
526,715,610
527,166,1193
528,1704,1969
529,25,1303
530,77,18
531,830,1324
532,812,1482
533,558,1787
534,1437,391
535,575,1388
536,1278,959
537,1140,964
538,738,594
539,400,478
540,154,173
541,912,599
542,1383,1151
543,405,1408
544,1701,2072
545,555,1308
546,933,971
547,505,1250
548,882,589
549,1240,2056
550,1063,2144
551,752,2091
552,273,1816
553,60,997
554,832,159
555,1495,1084
556,1222,1845
557,805,1942
558,226,860
559,425,451
560,1281,1654
561,408,267
562,442,609
563,904,777
564,533,1761
565,179,1943
566,1207,967
567,1664,1024
568,716,13
569,4,441
570,206,147
571,543,1040
572,1473,2059
573,362,612
574,1258,195
575,412,1341
576,1699,1465
577,686,397
578,540,1336
579,534,1664
580,1003,2173
581,1022,105
582,68,1819
583,1007,269
584,1589,2081
585,1624,507
586,1697,1824
587,1544,1177
588,1223,1046
589,961,317
590,1519,1831
591,1758,1157
592,652,1776
593,940,1755
594,335,1012
595,379,358
596,1071,1895
597,9,1674
598,1155,1981
599,568,1893
600,1235,874
601,1094,1732
602,984,1963
603,1659,491
604,162,1641
605,1727,1323
606,706,139
607,808,1493
608,1229,580
609,602,1991
610,439,1960
611,525,1406
612,798,2206
613,1379,1915
614,717,2136
615,936,2061
616,1671,1066
617,597,81
618,1297,1303
619,1600,638
620,339,513
621,1405,29
622,1387,1530
623,1386,684
624,1697,1878
625,1380,1563
626,1204,1037
627,1045,185
628,338,75
629,551,1530
630,283,1325
631,816,931
632,1142,1591
633,532,678
634,216,1982
635,44,185
636,829,1342
637,1374,1184
638,997,1464
639,860,2162
640,370,1295
641,233,1146
642,807,1133
643,1367,680
644,39,564
645,1179,1303
646,377,842
647,889,1206
648,322,1178
649,658,796
650,354,1283
651,39,2118
652,82,858
653,1048,577
654,733,2208
655,988,2191
656,1489,1771
657,875,548
658,108,40
659,606,92
660,528,1509
661,109,523
662,214,953
663,938,1495
664,99,887
665,1732,1685
666,1495,1358
667,74,1431
668,247,1384
669,1117,13
670,304,140
671,1759,580
672,1022,1049
673,1422,1433
674,51,1492
675,1461,877
676,1025,1655
677,1095,1015
678,1413,1799
679,1248,1275
680,704,1396
681,1229,468
682,1104,587
683,989,2190
684,682,824
685,769,1338
686,1292,235
687,1697,344
